;;;;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;
Krebs gesamt (C00-C97 ohne C44);0 - 44;weiblich;1;19.067;19.428;19.345;20.059;20.072;19.832;19.827;19.199;18.851;18.456;17.921;17.759;17.256;17.123;16.789;16.429;
Krebs gesamt (C00-C97 ohne C44);0 - 44;weiblich;2;35.120;35.683;35.890;36.481;37.047;36.795;36.589;35.962;34.995;34.321;33.500;32.913;32.324;31.847;31.444;30.832;
Krebs gesamt (C00-C97 ohne C44);0 - 44;männlich;1;12.940;12.837;13.154;13.132;12.718;12.690;12.670;12.131;11.784;11.765;11.476;11.425;10.949;10.762;10.584;10.393;
Krebs gesamt (C00-C97 ohne C44);0 - 44;männlich;2;23.414;23.692;23.930;24.123;23.678;23.249;23.240;22.702;21.912;21.650;21.398;21.100;20.627;20.095;19.799;19.461;
Krebs gesamt (C00-C97 ohne C44);45 - 54;weiblich;1;23.427;23.880;24.902;26.714;28.913;30.055;30.016;30.375;30.842;31.148;31.036;31.066;30.345;29.465;28.992;27.364;
Krebs gesamt (C00-C97 ohne C44);45 - 54;weiblich;2;43.738;44.730;46.160;48.761;52.631;55.641;56.565;56.927;57.754;58.409;58.431;58.216;57.401;55.734;54.426;52.282;
Krebs gesamt (C00-C97 ohne C44);45 - 54;männlich;1;17.792;18.135;19.378;20.278;20.731;21.142;21.697;21.579;21.034;21.446;21.423;20.775;20.050;19.764;18.838;17.886;
Krebs gesamt (C00-C97 ohne C44);45 - 54;männlich;2;31.183;31.853;33.168;35.194;36.299;37.068;37.998;38.368;37.737;37.670;37.939;37.249;35.946;34.956;33.759;31.968;
Krebs gesamt (C00-C97 ohne C44);55 - 64;weiblich;1;37.275;36.710;36.622;37.694;41.002;41.119;39.639;40.020;40.219;40.905;40.521;40.988;41.574;41.669;42.078;42.485;
Krebs gesamt (C00-C97 ohne C44);55 - 64;weiblich;2;70.692;68.174;67.603;68.891;73.215;76.496;75.483;74.707;75.269;76.253;76.429;76.537;77.528;77.995;78.307;79.122;
Krebs gesamt (C00-C97 ohne C44);55 - 64;männlich;1;49.626;47.713;47.991;48.641;47.778;46.076;46.479;47.186;46.729;45.890;45.931;46.635;47.281;47.948;48.082;48.266;
Krebs gesamt (C00-C97 ohne C44);55 - 64;männlich;2;88.772;85.248;84.302;85.471;85.335;83.046;82.364;83.845;84.246;83.025;82.356;83.172;84.279;85.306;86.154;86.220;
Krebs gesamt (C00-C97 ohne C44);65 - 74;weiblich;1;44.709;46.284;47.935;51.437;54.448;54.867;52.832;51.875;49.980;50.080;48.707;47.785;45.282;46.089;44.563;43.866;
Krebs gesamt (C00-C97 ohne C44);65 - 74;weiblich;2;82.974;85.263;88.181;93.063;99.082;102.608;100.568;97.089;93.902;92.088;90.745;88.373;85.178;84.239;83.610;81.721;
